therapist,rating,pct_labels,weighted_bal,emotion
Michelle Lyn,high,0.18421052631578946,1.4814814814814814,fear
Michelle Lyn,low,0.2699805068226121,1.0108303249097472,fear
Michelle Lyn,medium,0.2729044834307992,1.0,fear
Michelle Lyn,none,0.2729044834307992,1.0,fear
Pegah Moghaddam,high,0.09387755102040816,3.8840579710144927,fear
Pegah Moghaddam,low,0.2857142857142857,1.2761904761904763,fear
Pegah Moghaddam,medium,0.36462585034013606,1.0,fear
Pegah Moghaddam,none,0.25578231292517006,1.425531914893617,fear
Sedara Burson,high,0.028311425682507583,15.392857142857144,fear
Sedara Burson,low,0.30535894843276035,1.4271523178807948,fear
Sedara Burson,medium,0.23053589484327602,1.8903508771929827,fear
Sedara Burson,none,0.435793731041456,1.0,fear
Yared Alemu,high,0.25554484088717455,2.060377358490566,fear
Yared Alemu,low,0.2111861137897782,2.493150684931507,fear
Yared Alemu,medium,0.5265188042430087,1.0,fear
Yared Alemu,none,0.006750241080038573,78.0,fear
