therapist,rating,pct_labels,weighted_bal,emotion
Michelle Lyn,high,0.19103313840155944,1.5816326530612246,sadness
Michelle Lyn,low,0.30214424951267055,1.0,sadness
Michelle Lyn,medium,0.2797270955165692,1.0801393728222994,sadness
Michelle Lyn,none,0.22709551656920077,1.3304721030042919,sadness
Pegah Moghaddam,high,0.3401360544217687,1.268,sadness
Pegah Moghaddam,low,0.145578231292517,2.9626168224299065,sadness
Pegah Moghaddam,medium,0.4312925170068027,1.0,sadness
Pegah Moghaddam,none,0.08299319727891157,5.19672131147541,sadness
Sedara Burson,high,0.19919110212335692,1.5431472081218276,sadness
Sedara Burson,low,0.25985844287158744,1.1828793774319069,sadness
Sedara Burson,medium,0.23356926188068755,1.316017316017316,sadness
Sedara Burson,none,0.30738119312436807,1.0,sadness
Yared Alemu,high,0.30279652844744454,1.4777070063694269,sadness
Yared Alemu,low,0.23722275795564127,1.8861788617886182,sadness
Yared Alemu,medium,0.4474445515911283,1.0,sadness
Yared Alemu,none,0.01253616200578592,35.69230769230769,sadness
